"lon" "lat" "Continent" "Type" "Name" "Acronym"
"309" 128.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"310" 129.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"311" 130.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"312" 131.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"313" 132.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"314" 133.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"315" 134.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"316" 135.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"317" 136.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"318" 137.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"319" 138.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"320" 139.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"321" 140.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"322" 141.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"323" 142.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
