"lon" "lat" "lm"
"464" -76.5 88.5 0
"465" -75.5 88.5 0
"466" -74.5 88.5 0
"467" -73.5 88.5 0
"468" -72.5 88.5 0
"469" -71.5 88.5 0
"470" -70.5 88.5 0
"471" -69.5 88.5 0
"472" -68.5 88.5 0
"473" -67.5 88.5 0
"474" -66.5 88.5 0
"475" -65.5 88.5 0
"476" -64.5 88.5 0
"477" -63.5 88.5 0
"478" -62.5 88.5 0
"479" -61.5 88.5 0
"480" -60.5 88.5 0
"481" -59.5 88.5 0
"482" -58.5 88.5 0
"483" -57.5 88.5 0
"484" -56.5 88.5 0
"485" -55.5 88.5 0
"486" -54.5 88.5 0
"487" -53.5 88.5 0
"488" -52.5 88.5 0
"489" -51.5 88.5 0
"490" -50.5 88.5 0
"491" -49.5 88.5 0
"492" -48.5 88.5 0
"493" -47.5 88.5 0
"494" -46.5 88.5 0
"495" -45.5 88.5 0
"496" -44.5 88.5 0
"497" -43.5 88.5 0
"498" -42.5 88.5 0
"499" -41.5 88.5 0
"500" -40.5 88.5 0
"501" -39.5 88.5 0
"502" -38.5 88.5 0
"503" -37.5 88.5 0
"504" -36.5 88.5 0
"505" -35.5 88.5 0
"506" -34.5 88.5 0
"507" -33.5 88.5 0
"508" -32.5 88.5 0
"509" -31.5 88.5 0
"510" -30.5 88.5 0
"511" -29.5 88.5 0
"512" -28.5 88.5 0
"513" -27.5 88.5 0
"514" -26.5 88.5 0
"515" -25.5 88.5 0
"516" -24.5 88.5 0
"517" -23.5 88.5 0
"518" -22.5 88.5 0
"519" -21.5 88.5 0
"520" -20.5 88.5 0
"521" -19.5 88.5 0
"522" -18.5 88.5 0
"523" -17.5 88.5 0
"524" -16.5 88.5 0
"525" -15.5 88.5 0
"526" -14.5 88.5 0
"527" -13.5 88.5 0
"528" -12.5 88.5 0
"529" -11.5 88.5 0
"530" -10.5 88.5 0
"531" -9.5 88.5 0
"532" -8.5 88.5 0
"533" -7.5 88.5 0
"534" -6.5 88.5 0
"535" -5.5 88.5 0
"536" -4.5 88.5 0
"537" -3.5 88.5 0
"538" -2.5 88.5 0
"539" -1.5 88.5 0
"540" -0.5 88.5 0
"541" 0.5 88.5 0
